slice,window,n,years,meanProbabilityA,observedWinRateA,calibrationResidualA,meanFavoriteProbability,accuracy,favoriteResidual,favoriteResidualNaiveSE,logloss,brier,lossContribution
"player_a_probability:[0,0.1)",2010,63,1,0.08299335509600368,0.07936507936507936,-0.003628275730924313,0.9170066449039964,0.9206349206349206,0.003628275730924313,0.03412752578568535,0.2714407856288496,0.07222382139244195,0.0006382313015830979
"player_a_probability:[0,0.1)",2011,118,1,0.07607666225714653,0.06779661016949153,-0.008280052087655006,0.9239233377428534,0.9322033898305084,0.008280052087655006,0.023278535506999067,0.2493430626570961,0.06346971445859638,0.0010980996265409174
"player_a_probability:[0,0.1)",2012,97,1,0.0706015439630824,0.020618556701030927,-0.04998298726205147,0.9293984560369175,0.979381443298969,0.04998298726205147,0.014416250334886914,0.12291232242289925,0.022449813292578596,0.0004449688465709199
"player_a_probability:[0,0.1)",2013,118,1,0.06671026327021107,0.025423728813559324,-0.041286534456651744,0.9332897367297889,0.9745762711864406,0.041286534456651744,0.0143319107355281,0.1289765693969105,0.025736806771184322,0.000568009076242272
"player_a_probability:[0,0.1)",2014,93,1,0.06855070340006185,0.12903225806451613,0.06048155466445428,0.9314492965999384,0.8709677419354839,-0.06048155466445428,0.03505877908207086,0.41386370728050215,0.11673687360137071,0.0014364904373026313
"player_a_probability:[0,0.1)",2015,62,1,0.07511789424770915,0.08064516129032258,0.00552726704261344,0.9248821057522909,0.9193548387096774,-0.00552726704261344,0.03500042036733336,0.2860551008905412,0.07475734566025304,0.0006619174537289526
"player_a_probability:[0,0.1)",2016,26,1,0.08277940412323795,0.038461538461538464,-0.0443178656616995,0.9172205958767621,0.9615384615384616,0.0443178656616995,0.03913734447141241,0.18755950136793761,0.040257366523658314,0.00018200145687715077
"player_a_probability:[0,0.1)",2017,33,1,0.07777458095811919,0.09090909090909091,0.013134509950971722,0.9222254190418808,0.9090909090909091,-0.013134509950971722,0.051070959036938826,0.3106711126318215,0.08363628677413806,0.00038262845102821937
"player_a_probability:[0,0.1)",2018,23,1,0.08309451135036325,0.0,-0.08309451135036325,0.9169054886496368,1.0,0.08309451135036325,0.0022193346353186027,0.08681526818711831,0.0070130576334731945,7.452232471089502e-05
"player_a_probability:[0,0.1)",2019,19,1,0.0812085548372462,0.05263157894736842,-0.028576975889877777,0.9187914451627538,0.9473684210526315,0.028576975889877777,0.05223471473113929,0.20670648951036125,0.04992902116579368,0.00014657846162188787
"player_a_probability:[0.1,0.2)",tune,1950,10,0.15488791523708176,0.16205128205128205,0.007163366814200293,0.8451120847629182,0.837948717948718,-0.007163366814200293,0.008337372344523671,0.4420881413309388,0.13552976838839845,0.032174064178373166
"player_a_probability:[0.1,0.2)",2010,251,1,0.15389607884103057,0.16733067729083664,0.01343459844980609,0.8461039211589694,0.8326693227091634,-0.01343459844980609,0.023555075965756067,0.4498000514366931,0.13889088937364227,0.004213622934634992
"player_a_probability:[0.1,0.2)",2011,268,1,0.1536703173949883,0.1455223880597015,-0.008147929335286802,0.8463296826050116,0.8544776119402985,0.008147929335286802,0.021582927398217648,0.4151350990924093,0.12444106435794078,0.004152280605985134
"player_a_probability:[0.1,0.2)",2012,245,1,0.15505454043610772,0.16326530612244897,0.008210765686341291,0.8449454595638924,0.8367346938775511,-0.008210765686341291,0.023526569104667504,0.438890014309573,0.13512128340930973,0.004013139266471799
"player_a_probability:[0.1,0.2)",2013,227,1,0.15777512168413677,0.15418502202643172,-0.0035900996577050482,0.8422248783158631,0.8458149779735683,0.0035900996577050482,0.023969930803562838,0.42735147736788237,0.12986290251198773,0.0036205413660711093
"player_a_probability:[0.1,0.2)",2014,208,1,0.14999047745053956,0.1971153846153846,0.04712490716484505,0.8500095225494604,0.8028846153846154,-0.04712490716484505,0.027787820602832428,0.5114844102949377,0.1620584924633213,0.003970618696026986
"player_a_probability:[0.1,0.2)",2015,155,1,0.15948496948738386,0.16774193548387098,0.008256965996487073,0.840515030512616,0.832258064516129,-0.008256965996487073,0.030236097021842507,0.45785697887089344,0.14085829820706522,0.0026486464031122074
