signal,year,band,n,meanFeature,predicted,observed,residual,moment,momentSE
recent_surprise_diff,2017,all,2708,0.004209490124547987,0.5162477987319998,0.517725258493353,0.0014774597613532818,0.0012387729723169509,0.0011620030435588308
recent_surprise_diff,2017,zero,47,0.0,0.5453529226320116,0.7021276595744681,0.15677473694245656,0.0,0.0
recent_surprise_diff,2017,"[-1000000000.0,-0.1)",561,-0.1727638569034167,0.5147434540707406,0.49732620320855614,-0.01741725086218452,0.0038326766127147506,0.0037059826159091913
recent_surprise_diff,2017,"[-0.1,0)",751,-0.04686108550382513,0.5001593420376635,0.5019973368841545,0.0018379948464909439,8.922977482439014e-05,0.0009185177067171575
recent_surprise_diff,2017,"[0,0.1)",744,0.047830538277857604,0.5165663546817144,0.5094086021505376,-0.0071577525311768975,-0.0003605205589470359,0.0009126096380780866
recent_surprise_diff,2017,"[0.1,1000000000.0)",605,0.17839103754502372,0.5349608927527013,0.5520661157024793,0.017105222949777937,0.002323440271512074,0.003563489824169394
recent_surprise_diff,2018,all,2746,0.004718117219402106,0.5110607409162002,0.5214857975236707,0.010425056607470581,-0.0010023138063367377,0.001143733215961079
recent_surprise_diff,2018,zero,49,0.0,0.5330611100534302,0.5918367346938775,0.058775624640447464,0.0,0.0
recent_surprise_diff,2018,"[-1000000000.0,-0.1)",572,-0.1751367552286527,0.5086117321540674,0.5367132867132867,0.028101554559219293,-0.003248810595902153,0.003613972080698721
recent_surprise_diff,2018,"[-0.1,0)",745,-0.04645441760186133,0.5054845051716896,0.5288590604026846,0.02337455523099502,-0.0004971468579339428,0.0009334223956807983
recent_surprise_diff,2018,"[0,0.1)",728,0.047055179600883304,0.5113095163941257,0.5096153846153846,-0.0016941317787411403,0.00024826959778756475,0.000942285638583549
recent_surprise_diff,2018,"[0.1,1000000000.0)",652,0.1740591169313055,0.5176497010480198,0.5076687116564417,-0.009980989391578056,-0.0010803679591613654,0.0033053958533028407
recent_surprise_diff,2019,all,2525,-0.0010011232158171509,0.5118595952932837,0.5100990099009901,-0.0017605853922935985,0.00042390771970485626,0.001152226811867385
recent_surprise_diff,2019,zero,25,0.0,0.5681220431612141,0.6,0.031877956838785936,0.0,0.0
recent_surprise_diff,2019,"[-1000000000.0,-0.1)",553,-0.17445129857416528,0.5013213442030474,0.5226039783001808,0.0212826340971333,-0.002193671042976207,0.003605987231343129
recent_surprise_diff,2019,"[-0.1,0)",692,-0.047891718036333936,0.5095175841975752,0.48265895953757226,-0.026858624660002856,0.0016093083217860007,0.0009635986894299663
recent_surprise_diff,2019,"[0,0.1)",711,0.046897421268787855,0.5108383639776032,0.5049226441631505,-0.005915719814452652,0.0004408496563310239,0.0009138270380322286
recent_surprise_diff,2019,"[0.1,1000000000.0)",544,0.1723175263797978,0.5243005122048308,0.5349264705882353,0.01062595838340461,0.0015742309093627449,0.0035010742130627466
surface_recent_diff,all,all,26794,0.03454786119027483,0.5035838876791845,0.5055982682690154,0.0020143805898309333,0.010386037449201444,0.0020217166928612165
surface_recent_diff,all,zero,5823,0.0,0.5021919269501154,0.5024901253649322,0.000298198414816788,0.0,0.0
surface_recent_diff,all,"[-1000000000.0,-0.6931471805599453)",3601,-1.274562139586322,0.336605611562239,0.3176895306859206,-0.018916080876318464,0.027629630400979446,0.009258402496217975
surface_recent_diff,all,"[-0.6931471805599453,0)",6443,-0.4054393886989212,0.44116724636755345,0.4386155517616017,-0.0025516946059516606,0.0025995944956396784,0.002565898483138044
surface_recent_diff,all,"[0,0.6931471805599453)",5783,0.36418178077851193,0.5595062932907168,0.5663150613868234,0.006808768096106699,0.0034395144007358276,0.0024168093330082427
surface_recent_diff,all,"[0.6931471805599453,1000000000.0)",5144,1.1705980560901212,0.6373601917114238,0.656298600311042,0.018938408599618223,0.027633998682953884,0.007144985361166328
surface_recent_diff,2010,all,2702,0.0741788069996094,0.5044862647670838,0.5151739452257587,0.010687680458674936,0.0126336786405073,0.006207486400097457
surface_recent_diff,2010,zero,604,0.0,0.503564625716674,0.4900662251655629,-0.013498400551111242,0.0,0.0
surface_recent_diff,2010,"[-1000000000.0,-0.6931471805599453)",334,-1.3398228443333824,0.3295919080575385,0.32335329341317365,-0.006238614644364911,0.007858780873395492,0.02998940333358219
surface_recent_diff,2010,"[-0.6931471805599453,0)",595,-0.3994720125576918,0.431236581919877,0.453781512605042,0.02254493068516506,-0.002356036085323927,0.008328815630527094
surface_recent_diff,2010,"[0,0.6931471805599453)",610,0.35785717258669286,0.5528444952427393,0.5770491803278689,0.024204685085129605,0.013841721091661187,0.007340569559972931
surface_recent_diff,2010,"[0.6931471805599453,1000000000.0)",559,1.1937834324047196,0.6351775453241029,0.6547406082289803,0.019563062904877422,0.04377416543790885,0.02087098979672534
surface_recent_diff,2011,all,2702,0.03294016378139503,0.48974757497701876,0.48038490007401924,-0.009362674902999557,0.011712858853534317,0.006166458748481876
surface_recent_diff,2011,zero,625,0.0,0.4958038886976882,0.4992,0.0033961113023118317,0.0,0.0
surface_recent_diff,2011,"[-1000000000.0,-0.6931471805599453)",349,-1.257571576928992,0.31820897123265046,0.28653295128939826,-0.03167601994325219,0.032263108412101206,0.028430510589127125
surface_recent_diff,2011,"[-0.6931471805599453,0)",657,-0.4099210411467966,0.40852487810897037,0.3774733637747336,-0.031051514334236693,0.021567203353393596,0.008018316755918508
surface_recent_diff,2011,"[0,0.6931471805599453)",549,0.35280620242388977,0.5543226108465892,0.5591985428051002,0.004875931958510975,0.002262029385733591,0.007497114630690776
surface_recent_diff,2011,"[0.6931471805599453,1000000000.0)",522,1.1561768616633665,0.6314973714928808,0.6340996168582376,0.002602245365356894,0.009534124617775995,0.022228215817991934
surface_recent_diff,2012,all,2808,0.0024141314801799404,0.4899953054216378,0.48753561253561256,-0.002459692886025289,0.00970421648046878,0.006165507155398428
surface_recent_diff,2012,zero,675,0.0,0.4836320628916974,0.4948148148148148,0.011182751923117367,0.0,0.0
surface_recent_diff,2012,"[-1000000000.0,-0.6931471805599453)",397,-1.2718872789761873,0.33313409846432956,0.32997481108312343,-0.003159287381206124,0.0137371457781531,0.02859456422569909
surface_recent_diff,2012,"[-0.6931471805599453,0)",685,-0.41140210959623963,0.44163027032805807,0.4145985401459854,-0.027031730182072663,0.009921547376873282,0.007714989469720217
surface_recent_diff,2012,"[0,0.6931471805599453)",552,0.3655668753389529,0.5501941527419271,0.5362318840579711,-0.013962268683956182,-0.00904683492015243,0.0077994259070668336
surface_recent_diff,2012,"[0.6931471805599453,1000000000.0)",499,1.185843007687803,0.6232004621111441,0.6492985971943888,0.026098135083244847,0.040066905663317616,0.02233502640263055
surface_recent_diff,2013,all,2633,0.016824835639207055,0.4923705558690796,0.4891758450436764,-0.0031947108254031685,0.00925401097238298,0.006411944391752885
surface_recent_diff,2013,zero,570,0.0,0.49326334741790173,0.4964912280701754,0.003227880652273709,0.0,0.0
surface_recent_diff,2013,"[-1000000000.0,-0.6931471805599453)",399,-1.259014496742666,0.3066687941908325,0.2857142857142857,-0.020954508476546813,0.038991086184648666,0.02649434650244348
surface_recent_diff,2013,"[-0.6931471805599453,0)",609,-0.40022305749780374,0.4168535665535539,0.39901477832512317,-0.017838788228430717,0.0061625953082420385,0.008173359879511613
surface_recent_diff,2013,"[0,0.6931471805599453)",529,0.3678025007831854,0.5633745118432467,0.5765595463137996,0.013185034470552755,0.005856025435221023,0.0077709847908552475
surface_recent_diff,2013,"[0.6931471805599453,1000000000.0)",526,1.132727938289379,0.6482923534158718,0.6520912547528517,0.003798901336980077,0.0037215009594263253,0.02181449234957941
