event_ticker,tour,season,occurrence_utc,match_date,event,round,surface,tier,best_of,player_a,player_b,rank_a,rank_b,rank_src,ticker_a,ticker_b,mid_a,mid_b,p_kalshi,p_kalshi_t30,spread_max,price_ts,price_kind,volume_total,oi_total,liquidity,p_model,pred_source,model_version,model_as_of,match_status,result_type,winner,a_won,result_date,kalshi_result_a
KXATPMATCH-26JUN20ALTTIA,atp,2026,2026-06-20T17:10:00Z,2026-06-20,Halle,SF,Grass,atp500,3,Daniel Altmaier,Frances Tiafoe,81,26,results,KXATPMATCH-26JUN20ALTTIA-ALT,KXATPMATCH-26JUN20ALTTIA-TIA,0.2650,0.7350,0.2650,0.2576,0.0100,2026-06-20T07:55:00Z,candle,2141177.52,1452599.77,0.00,0.3544,backtest,0.1.0,2026-07-07,matched,completed,Frances Tiafoe,0,2026-06-20,no
KXATPMATCH-26JUN21MOLCAS,atp,2026,2026-06-21T12:00:00Z,2026-06-21,Mallorca,Q2,Grass,challenger,3,Alex Molcan,Murphy Cassone,102,291,results,KXATPMATCH-26JUN21MOLCAS-MOL,KXATPMATCH-26JUN21MOLCAS-CAS,0.5000,0.5000,0.5000,0.5000,1.0000,2026-06-22T04:00:00Z,candle,498271.72,235926.59,0.00,,,,,matched,completed,Alex Molcan,1,2026-06-22,yes
KXATPMATCH-26JUN21SHEPOL,atp,2026,2026-06-21T12:00:00Z,2026-06-21,Mallorca,Q2,Grass,challenger,3,Abdullah Shelbayh,Marc Polmans,299,366,results,KXATPMATCH-26JUN21SHEPOL-SHE,KXATPMATCH-26JUN21SHEPOL-POL,0.5000,0.5000,0.5000,0.5000,1.0000,2026-06-22T04:00:00Z,candle,492054.76,358483.82,0.00,,,,,matched,completed,Marc Polmans,0,2026-06-22,no
KXATPMATCH-26JUN21SVADZU,atp,2026,2026-06-21T12:00:00Z,2026-06-21,Mallorca,Q2,Grass,challenger,3,Damir Dzumhur,Zachary Svajda,104,69,results,KXATPMATCH-26JUN21SVADZU-DZU,KXATPMATCH-26JUN21SVADZU-SVA,0.5000,0.5000,0.5000,0.5000,1.0000,2026-06-22T04:00:00Z,candle,405960.80,246973.84,0.00,,,,,matched,completed,Damir Dzumhur,1,2026-06-22,yes
KXATPMATCH-26JUN21WALGHI,atp,2026,2026-06-21T12:00:00Z,2026-06-21,Mallorca,Q2,Grass,challenger,3,Adam Walton,Antoine Ghibaudo,92,303,results,KXATPMATCH-26JUN21WALGHI-WAL,KXATPMATCH-26JUN21WALGHI-GHI,0.5000,0.5000,0.5000,0.5000,1.0000,2026-06-22T04:00:00Z,candle,164730.85,102331.39,0.00,,,,,matched,completed,Adam Walton,1,2026-06-22,yes
KXATPMATCH-26JUN21ARNSAM,atp,2026,2026-06-21T13:00:00Z,2026-06-21,Eastbourne,Q2,Grass,challenger,3,Matteo Arnaldi,Toby Samuel,35,144,results,KXATPMATCH-26JUN21ARNSAM-ARN,KXATPMATCH-26JUN21ARNSAM-SAM,0.5000,0.5000,0.5000,0.5000,1.0000,2026-06-22T04:00:00Z,candle,2427436.45,1116955.05,0.00,,,,,matched,completed,Matteo Arnaldi,1,2026-06-22,yes
KXATPMATCH-26JUN21STEVUK,atp,2026,2026-06-21T13:00:00Z,2026-06-21,Eastbourne,Q2,Grass,challenger,3,Aleksandar Vukic,Hamish Stewart,103,305,results,KXATPMATCH-26JUN21STEVUK-VUK,KXATPMATCH-26JUN21STEVUK-STE,0.5000,0.5000,0.5000,0.5000,1.0000,2026-06-22T04:00:00Z,candle,1115695.17,535959.04,0.00,,,,,matched,completed,Aleksandar Vukic,1,2026-06-22,yes
KXATPMATCH-26JUN21BORMAN,atp,2026,2026-06-21T13:30:00Z,2026-06-21,Mallorca,R32,Grass,atp250,3,Adrian Mannarino,Nuno Borges,44,54,results,KXATPMATCH-26JUN21BORMAN-MAN,KXATPMATCH-26JUN21BORMAN-BOR,0.5000,0.5000,0.5000,0.5000,1.0000,2026-06-22T04:00:00Z,candle,389354.38,289695.79,0.00,0.4728,backtest,0.1.0,2026-07-07,matched,completed,Nuno Borges,0,2026-06-22,no
KXATPMATCH-26JUN21GIRCHO,atp,2026,2026-06-21T15:30:00Z,2026-06-21,Eastbourne,Q2,Grass,challenger,3,Jan Choinski,Marcos Giron,106,86,results,KXATPMATCH-26JUN21GIRCHO-CHO,KXATPMATCH-26JUN21GIRCHO-GIR,0.5000,0.5000,0.5000,0.5000,1.0000,2026-06-22T04:00:00Z,candle,2266262.31,1055642.76,0.00,,,,,matched,completed,Jan Choinski,1,2026-06-22,yes
KXATPMATCH-26JUN21HUSTRU,atp,2026,2026-06-21T15:30:00Z,2026-06-21,Eastbourne,Q2,Grass,challenger,3,Giles Hussey,Marco Trungelliti,293,94,results,KXATPMATCH-26JUN21HUSTRU-HUS,KXATPMATCH-26JUN21HUSTRU-TRU,0.5000,0.5000,0.5000,0.5000,1.0000,2026-06-22T04:00:00Z,candle,469474.93,318274.69,0.00,,,,,matched,completed,Giles Hussey,1,2026-06-22,yes
KXATPMATCH-26JUN21NAVSON,atp,2026,2026-06-21T16:00:00Z,2026-06-21,Mallorca,R32,Grass,atp250,3,Lorenzo Sonego,Mariano Navone,65,38,results,KXATPMATCH-26JUN21NAVSON-SON,KXATPMATCH-26JUN21NAVSON-NAV,0.5000,0.5000,0.5000,0.5000,1.0000,2026-06-22T04:00:00Z,candle,2305611.55,1046858.06,0.00,0.5377,backtest,0.1.0,2026-07-07,matched,completed,Lorenzo Sonego,1,2026-06-22,yes
KXATPMATCH-26JUN21HANVAL,atp,2026,2026-06-21T18:30:00Z,2026-06-21,Mallorca,R32,Grass,atp250,3,Adolfo Daniel Vallejo,Yannick Hanfmann,73,59,results,KXATPMATCH-26JUN21HANVAL-VAL,KXATPMATCH-26JUN21HANVAL-HAN,0.5000,0.5000,0.5000,0.5000,1.0000,2026-06-22T04:00:00Z,candle,3064126.00,1552522.92,0.00,0.4039,backtest,0.1.0,2026-07-07,matched,completed,Yannick Hanfmann,0,2026-06-22,no
KXATPMATCH-26JUN22ALTKOV,atp,2026,2026-06-22T12:00:00Z,2026-06-22,Eastbourne,R32,Grass,atp250,3,Aleksandar Kovacevic,Daniel Altmaier,70,59,results,KXATPMATCH-26JUN22ALTKOV-KOV,KXATPMATCH-26JUN22ALTKOV-ALT,0.4850,0.5250,0.4802,0.4802,0.0100,2026-06-23T07:55:00Z,candle,1652185.82,895532.30,0.00,0.4018,backtest,0.1.0,2026-07-07,matched,completed,Daniel Altmaier,0,2026-06-23,no
KXATPMATCH-26JUN22BERMUN,atp,2026,2026-06-22T12:00:00Z,2026-06-22,Eastbourne,R32,Grass,atp250,3,Jaume Munar,Zizou Bergs,44,48,results,KXATPMATCH-26JUN22BERMUN-MUN,KXATPMATCH-26JUN22BERMUN-BER,0.4350,0.5750,0.4307,0.4307,0.0100,2026-06-22T07:50:00Z,candle,1323876.66,870627.66,0.00,0.4664,backtest,0.1.0,2026-07-07,matched,completed,Zizou Bergs,0,2026-06-22,no
KXATPMATCH-26JUN22BURFER,atp,2026,2026-06-22T12:00:00Z,2026-06-22,Eastbourne,R32,Grass,atp250,3,Arthur Fery,Roman Andres Burruchaga,118,66,results,KXATPMATCH-26JUN22BURFER-FER,KXATPMATCH-26JUN22BURFER-BUR,0.7650,0.2450,0.7574,0.7574,0.0100,2026-06-23T07:44:00Z,candle,2389465.54,1091489.07,0.00,0.5939,backtest,0.1.0,2026-07-07,matched,completed,Arthur Fery,1,2026-06-23,yes
KXATPMATCH-26JUN22COLCER,atp,2026,2026-06-22T12:00:00Z,2026-06-22,Eastbourne,R32,Grass,atp250,3,Juan Manuel Cerundolo,Raphael Collignon,45,43,results,KXATPMATCH-26JUN22COLCER-CER,KXATPMATCH-26JUN22COLCER-COL,0.2050,0.7950,0.2050,0.2050,0.0100,2026-06-22T07:55:00Z,candle,2423922.93,1361309.16,0.00,0.2906,backtest,0.1.0,2026-07-07,matched,completed,Juan Manuel Cerundolo,1,2026-06-22,yes
