city_key,ioc,query,resolved_name,lat,lon,elevation_m
bayonne,FRA,bayonne,Bayonne,43.49316,-1.473,6.0
beijing,CHN,beijing,Beijing,39.9075,116.39723,49.0
beijing olympics,CHN,Beijing,Beijing,39.9075,116.39723,49.0
belgrade,SRB,belgrade,Belgrade,44.80401,20.46513,120.0
berlin,GER,berlin,Berlin,52.52437,13.41053,74.0
bermuda,BER,bermuda,Bermuda,32.33022,-64.74003,8.0
biel,SUI,biel,Biel/Bienne,47.13713,7.24608,434.0
birmingham,GBR,birmingham,Birmingham,52.48142,-1.89983,149.0
boca raton,USA,boca raton,Boca Raton,26.35869,-80.0831,4.0
bogota,COL,bogota,Bogotá,4.60971,-74.08175,2582.0
bol,CRO,Bol,Bol,43.26194,16.655,9.0
bologna,ITA,bologna,Bologna,44.49381,11.33875,54.0
bolzano,ITA,bolzano,Bolzano,46.49067,11.33982,262.0
bordeaux,FRA,bordeaux,Bordeaux,44.84124,-0.58046,20.0
boston,USA,boston,Boston,42.35843,-71.05977,14.0
bournemouth,GBR,bournemouth,Bournemouth,50.72048,-1.8795,19.0
brasilia,BRA,brasilia,Brasília,-15.77972,-47.92972,1136.0
bratislava,SVK,bratislava,Bratislava,48.14816,17.10674,157.0
brescia,ITA,brescia,Brescia,45.53558,10.21472,149.0
brighton,GBR,brighton,Brighton,50.82838,-0.13947,29.0
brisbane,AUS,brisbane,Brisbane,-27.46794,153.02809,27.0
brussels,BEL,brussels,Brussels,50.85045,4.34878,28.0
bucharest,ROU,bucharest,Bucharest,44.43225,26.10626,83.0
budapest,HUN,budapest,Budapest,47.49835,19.04045,104.0
